State ,Port,Country,AM24_INR,AM24_USD
ANDAMAN & NICOBAR,AHMEDABAD AIR CARGO COMPLEX,GERMANY,78980,951
ANDAMAN & NICOBAR,CFS ALBATROSS/ICD DADRI,VIETNAM SOC REP,6785610,81966
ANDAMAN & NICOBAR,CHENNAI AIR,SRI LANKA DSR,68063,829
ANDAMAN & NICOBAR,CHENNAI SEA,MALAYSIA,25649231,309171
ANDAMAN & NICOBAR,CHENNAI SEA,VIETNAM SOC REP,24945360,300539
ANDAMAN & NICOBAR,KOLKATA AIR,THAILAND,27126,327
ANDAMAN & NICOBAR,PORT BLAIR,MALAYSIA,5754000,69356
ANDAMAN & NICOBAR,RAXAUL LAND,NEPAL,17796168,216009
ANDAMAN & NICOBAR,TUTICORIN SEA,MALDIVES,1368057,16614
ANDHRA PRADESH,ACC COIMBATORE,U S A,34198,415
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,AFGHANISTAN,280177,3381
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,ALGERIA,614460,7462
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,ARGENTINA,378579,4585
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,BAHAMAS,51597,624
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,BELARUS,287887,3509
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,BELGIUM,128322,1554
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,BOLIVIA,217528,2632
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,BRAZIL,4608976,55592
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,CHILE,2247614,27092
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,COLOMBIA,7804406,94478
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,COSTA RICA,1894591,22912
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,DOMINIC REP,3137900,38091
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,ECUADOR,265423,3214
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,EGYPT A RP,422508,5088
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,EL SALVADOR,54895021,663062
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,GHANA,115365,1395
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,GUATEMALA,1476743,17881
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,GUYANA,2246397,27237
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,ISRAEL,78541,944
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,JAMAICA,542520,6539
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,JORDAN,598489,7285
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,KENYA,890470,10770
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,LEBANON,12391588,150085
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,MALAYSIA,276241,3329
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,MALDIVES,673236,8103
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,MAURITIUS,6839937,82865
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,MEXICO,1703885,20552
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,MYANMAR,1120560,13536
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,NETHERLAND,935510,11406
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,NICARAGUA,2395680,28938
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,NIGERIA,18922773,229497
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,PARAGUAY,6162658,74345
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,PERU,5162209,62569
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,PHILIPPINES,265522,3218
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,SERBIA,45272,545
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,SPAIN,137159,1673
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,SRI LANKA DSR,9671338,117913
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,SUDAN,11183,136
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,TUNISIA,314519,3794
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,TURKEY,2945780,35666
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,U K,77925,937
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,U S A,19233,231
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,URUGUAY,5571205,67117
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,UZBEKISTAN,1426873,17378
ANDHRA PRADESH,AHMEDABAD AIR CARGO COMPLEX,VIETNAM SOC REP,815068,9896
ANDHRA PRADESH,"ANRAK ALUMINIUM SEZ, VIZAG DC",INDONESIA,956665710,11519500
ANDHRA PRADESH,"ANRAK ALUMINIUM SEZ, VIZAG DC",OMAN,10000155375,120656227
ANDHRA PRADESH,"ANRAK ALUMINIUM SEZ, VIZAG DC",RUSSIA,4655304795,56175842
ANDHRA PRADESH,APACHE Footware Nellore,ARGENTINA,24832647,298713
ANDHRA PRADESH,APACHE Footware Nellore,AUSTRALIA,173786446,2096869
ANDHRA PRADESH,APACHE Footware Nellore,BRAZIL,148323910,1788342
ANDHRA PRADESH,APACHE Footware Nellore,CANADA,241434402,2909336
ANDHRA PRADESH,APACHE Footware Nellore,CHILE,73263205,883645
ANDHRA PRADESH,APACHE Footware Nellore,CHINA P RP,240180332,2908610
ANDHRA PRADESH,APACHE Footware Nellore,COLOMBIA,63258360,764676
ANDHRA PRADESH,APACHE Footware Nellore,EGYPT A RP,2114484,25494
ANDHRA PRADESH,APACHE Footware Nellore,FRANCE,177457989,2154349
ANDHRA PRADESH,APACHE Footware Nellore,GERMANY,2993745441,36169776
ANDHRA PRADESH,APACHE Footware Nellore,GREECE,22746026,275737
ANDHRA PRADESH,APACHE Footware Nellore,HONG KONG,118823437,1435921
ANDHRA PRADESH,APACHE Footware Nellore,INDONESIA,90317153,1089617
ANDHRA PRADESH,APACHE Footware Nellore,ISRAEL,132934122,1603762
ANDHRA PRADESH,APACHE Footware Nellore,ITALY,248602159,2999595
ANDHRA PRADESH,APACHE Footware Nellore,JAPAN,538330777,6515473
ANDHRA PRADESH,APACHE Footware Nellore,KAZAKHSTAN,25784998,310153
ANDHRA PRADESH,APACHE Footware Nellore,KOREA RP,239618185,2890535
ANDHRA PRADESH,APACHE Footware Nellore,MALAYSIA,101309966,1221718
ANDHRA PRADESH,APACHE Footware Nellore,MEXICO,351990073,4259691
ANDHRA PRADESH,APACHE Footware Nellore,MONACO,110216758,1330098
ANDHRA PRADESH,APACHE Footware Nellore,MOROCCO,43275437,521792
ANDHRA PRADESH,APACHE Footware Nellore,NEW ZEALAND,15109366,182594
ANDHRA PRADESH,APACHE Footware Nellore,PANAMA REPUBLIC,66091587,798300
ANDHRA PRADESH,APACHE Footware Nellore,PERU,125840735,1519735
ANDHRA PRADESH,APACHE Footware Nellore,PHILIPPINES,99614104,1203911
ANDHRA PRADESH,APACHE Footware Nellore,SAUDI ARAB,86547039,1041389
ANDHRA PRADESH,APACHE Footware Nellore,SINGAPORE,55428416,669051
ANDHRA PRADESH,APACHE Footware Nellore,SOUTH AFRICA,175180941,2119644
ANDHRA PRADESH,APACHE Footware Nellore,SPAIN,157335220,1903214
ANDHRA PRADESH,APACHE Footware Nellore,TAIWAN,68120649,824512
ANDHRA PRADESH,APACHE Footware Nellore,THAILAND,136336535,1647034
ANDHRA PRADESH,APACHE Footware Nellore,TURKEY,234127143,2827564
ANDHRA PRADESH,APACHE Footware Nellore,U ARAB EMTS,796748197,9615654
ANDHRA PRADESH,APACHE Footware Nellore,U K,582524800,7036119
ANDHRA PRADESH,APACHE Footware Nellore,U S A,2066686029,24904439
ANDHRA PRADESH,APACHE Footware Nellore,UKRAINE,32027266,386326
ANDHRA PRADESH,APACHE Footware Nellore,URUGUAY,8839480,106498
ANDHRA PRADESH,APACHE Footware Nellore,VIETNAM SOC REP,61222507,739055
ANDHRA PRADESH,APIIC BUILDING PRODUCT,ALBANIA,15171709,183100
ANDHRA PRADESH,APIIC BUILDING PRODUCT,ALGERIA,185123046,2234381
ANDHRA PRADESH,APIIC BUILDING PRODUCT,AUSTRALIA,17468096,210424
ANDHRA PRADESH,APIIC BUILDING PRODUCT,BELGIUM,44734155,540269
ANDHRA PRADESH,APIIC BUILDING PRODUCT,BULGARIA,3549025,43027
ANDHRA PRADESH,APIIC BUILDING PRODUCT,CANADA,80163512,968447
ANDHRA PRADESH,APIIC BUILDING PRODUCT,CROATIA,49385550,597155
ANDHRA PRADESH,APIIC BUILDING PRODUCT,ETHIOPIA,8444902,101915
ANDHRA PRADESH,APIIC BUILDING PRODUCT,GERMANY,85480197,1031448
ANDHRA PRADESH,APIIC BUILDING PRODUCT,GREECE,1093668,13199
ANDHRA PRADESH,APIIC BUILDING PRODUCT,GUATEMALA,1041209,12694
ANDHRA PRADESH,APIIC BUILDING PRODUCT,INDONESIA,32263275,390105
ANDHRA PRADESH,APIIC BUILDING PRODUCT,IRAQ,6933748,83696
ANDHRA PRADESH,APIIC BUILDING PRODUCT,ISRAEL,5827608,70672
ANDHRA PRADESH,APIIC BUILDING PRODUCT,ITALY,98793762,1192267
ANDHRA PRADESH,APIIC BUILDING PRODUCT,JORDAN,48456256,585936
ANDHRA PRADESH,APIIC BUILDING PRODUCT,KOREA RP,2509245,30553
ANDHRA PRADESH,APIIC BUILDING PRODUCT,KUWAIT,3244042,39058
ANDHRA PRADESH,APIIC BUILDING PRODUCT,LEBANON,1417544,17018
ANDHRA PRADESH,APIIC BUILDING PRODUCT,LIBYA,89811696,1085866
ANDHRA PRADESH,APIIC BUILDING PRODUCT,LITHUANIA,8654856,104312
ANDHRA PRADESH,APIIC BUILDING PRODUCT,MEXICO,160645821,1939482
ANDHRA PRADESH,APIIC BUILDING PRODUCT,MOROCCO,3115570,37480
ANDHRA PRADESH,APIIC BUILDING PRODUCT,NETHERLAND,6016291,72488
ANDHRA PRADESH,APIIC BUILDING PRODUCT,NEW ZEALAND,8723059,105241
